,Nome,Esfera,Ente federativo,Cargo (ultima alteração),Partido,Twitter,Facebook,FacebookID,Data início,Data término,Twitterid
0,Alan Rick Miranda,Estadual,Acre,Deputado Federal eleito,DEM,alan_rick,,id213808655377408,07/10/2018,-,65308388
1,Cylmara Fernandes Da Rocha Gripp,Estadual,Acre,Deputado Federal eleito,PSDB,,,id280207712721855,07/10/2018,-,
2,Flaviano Flavio Baptista De Melo,Estadual,Acre,Deputado Federal eleito,MDB,flaviano_melo,,id1504479649763573,07/10/2018,-,85106260
3,Jessica Rojas Sales,Estadual,Acre,Deputado Federal eleito,MDB,,,id,07/10/2018,-,
4,Jesus Sergio De Menezes,Estadual,Acre,Deputado Federal eleito,PDT,,,id198351500798968,07/10/2018,-,
5,Manuel Marcos Carvalho De Mesquita,Estadual,Acre,Deputado Federal eleito,PRB,,,id396113810473968,07/10/2018,-,
6,Marcio Miguel Bittar,Estadual,Acre,Senador eleito,MDB,marciobittar_,,id555803774486872,07/10/2018,-,326187528
7,Maria Perpetua De Almeida,Estadual,Acre,Deputado Federal eleito,PC do B,perpetua_acre,,id161197557282987,07/10/2018,-,44693900
8,Sérgio De Oliveira Cunha,Estadual,Acre,Senador eleito,PSD,senadorpetecao,,id245784392128312,07/10/2018,-,87186953
9,Vanda Denir Milani Nogueira,Estadual,Acre,Deputado Federal eleito,SOLIDARIEDADE,joeniac,,id1601715893260426,07/10/2018,-,82227920
10,Arthur Cesar Pereira De Lira,Estadual,Alagoas,Deputado Federal eleito,PP,liderppnacamara,,id553734458071369,07/10/2018,-,84930608
11,Isnaldo Bulhões Barros Junior,Estadual,Alagoas,Deputado Federal eleito,MDB,bulhoesjr,,id1513764222043776,07/10/2018,-,160760421
12,João Henrique Holanda Caldas,Estadual,Alagoas,Deputado Federal eleito,PSB,,,id375940632464690,07/10/2018,-,
13,José Renan Vasconcelos Calheiros,Estadual,Alagoas,Senador eleito,MDB,renancalheiros,,id576313645847016,07/10/2018,-,1650330319
14,Marx Beltrão Lima Siqueira,Estadual,Alagoas,Deputado Federal eleito,PSD,,,id453491971360371,07/10/2018,-,
15,Nivaldo Ferreira De Albuquerque Neto,Estadual,Alagoas,Deputado Federal eleito,PTB,nivaldoalbuque,,id138502099895292,07/10/2018,-,854773827515142148
16,Paulo Fernando Dos Santos,Estadual,Alagoas,Deputado Federal eleito,PT,paulaodopt,,id250334068452972,07/10/2018,-,131004593
17,Rodrigo Santos Cunha,Estadual,Alagoas,Senador eleito,PSDB,rodrigocunhaal,,id645681708802441,07/10/2018,-,37050975
18,Sérgio Toledo De Albuquerque,Estadual,Alagoas,Deputado Federal eleito,Estado do Paraná,depsergiotoledo,,id461440950613316,07/10/2018,-,68292109
19,Severino De Lira Pessôa,Estadual,Alagoas,Deputado Federal eleito,PRB,,,id222828721560501,07/10/2018,-,
20,Tereza Nelma Da Silva Porto Viana Soares,Estadual,Alagoas,Deputado Federal eleito,PSDB,terezanelma_,,id514156245358687,07/10/2018,-,131215162
21,Acácio Da Silva Favacho Neto,Estadual,Amapá,Deputado Federal eleito,PROS,acaciofavacho,,id248744661890403,07/10/2018,-,85585107
22,Aline Paranhos Varonil Gurgel,Estadual,Amapá,Deputado Federal eleito,PRB,,,id292264857621991,07/10/2018,-,
23,Andre Dos Santos Abdon,Estadual,Amapá,Deputado Federal eleito,PP,,,id853785441352661,07/10/2018,-,
24,Carlos Camilo Goes Capiberibe,Estadual,Amapá,Deputado Federal eleito,PSB,camilopsb,,id191400270968241,07/10/2018,-,49339134
25,Leda Maria Sadala Brito,Estadual,Amapá,Deputado Federal eleito,AVANTE,ledasadala,,id184298072237044,07/10/2018,-,1378358642
26,Luiz Cantuária Barreto,Estadual,Amapá,Senador eleito,PTB,,,id274851776445620,07/10/2018,-,
27,Luiz Carlos Gomes Dos Santos Junior,Estadual,Amapá,Deputado Federal eleito,PSDB,,,id470780289637001,07/10/2018,-,
28,Marcivania Do Socorro Da Rocha Flexa,Estadual,Amapá,Deputado Federal eleito,PC do B,marcivania65,,id820411221317089,07/10/2018,-,184543392
29,Randolph Frederich Rodrigues Alves,Estadual,Amapá,Senador eleito,REDE,randolfeap,,id687008454694990,07/10/2018,-,85327394
30,Vinícius De Azevedo Gurgel,Estadual,Amapá,Deputado Federal eleito,Estado do Paraná,,,id289160704429225,07/10/2018,-,
31,Alberto Barros Cavalcante Neto,Estadual,Amazonas,Deputado Federal eleito,PRB,cavalcantecta_n,,id865232070270799,07/10/2018,-,3026187358
32,Atila Sidney Lins De Albuquerque,Estadual,Amazonas,Deputado Federal eleito,PP,,,id329607960409077,07/10/2018,-,
